"Report number","Report date","President","President last name","Administration","Location","Purpose/Mission","Purpose detail","Military activity","Military activity detail","Type of enemy or mission","Type of enemy or mission detail","Hostilities/imminent hostilities reported 4(a)(1)","Combat-equipped introduction reported 4(a)(2)","Substantial enlargement reported 4(a)(3)","48-Hour WPR Report Trigger","Domestic Legal Authority","Domestic Legal Authority detail","Estimated scope and duration","Estimated scope and duration detail","Stated scope and duration","Actual scope and duration","Joint/Coalition Mission","Joint/Coalition Mission Details","Claimed International Legal Basis","Claimed International Legal Basis Detail","US casualties","US casualties detail","Non-US casualties","Non-U.S. casualties detail","Article 51 Report to UN","Article 51 detail","Link to Article 51 Report to UN","Related reports","Report file"
"19750404A","1975-04-04","Gerald Ford","Ford","Only Term","[""South Vietnam""]","[""Humanitarian""]","""transport refugees from Danang and other seaports to safer areas farther south in Vietnam""","[""Air operations"",""Use of naval forces/vessels""]","""I have ordered U.S. naval vessels to assist with this effort, including Amphibious Task Group 76.8 with 12 embarked helicopters and approximately 700 Marines.""; ""authorized to approach the coast of South Vietnam to pick up refugees and U.S. nationals, and transport them to safety""","[""Nation-state""]","North Vietnam","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Const. (Art. II) and Statute""]","""This effort is being undertaken pursuant to the President's constitutional authority as Commander-in-Chief and Chief Executive in the conduct of foreign relations, and pursuant to the Foreign Assistance Act of 1961""","Scope/duration specified","""You will appreciate, I am sure, my difficulty in telling you precisely how long U.S. forces may be needed in this effort. Our present estimate... is for a period of at least several weeks.""","No","Unknown","Yes","The U.S. ""has been joined in this humanitarian effort by a number of other countries who are offering people, supplies, and vessels to assist in this effort...""","[""Consent of territorial state""]","Undertaken in response to ""urgent appeals from the Government of the Republic of Vietnam""","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/2ZzqRgCskBbCRJGO4ytkgX/4bc1a8ee65367ca9172165047e2be290/19750404-Ford.pdf"
"19750412A","1975-04-12","Gerald Ford","Ford","Only Term","[""Cambodia""]","[""Evacuation""]","""in view of the circumstances in Cambodia... I ordered U.S. military forces to proceed with the planned evacuation out of consideration for the safety of U.S. citizens.""","[""Air operations"",""Use of ground forces""]","""Military forces included 350 ground combat troops of the U.S. Marines, 36 helicopters, and supporting tactical air and command and control elements... Although these forces were equipped for combat within the meaning of Section 4(a)(2) of the Public Law 93-148, their mission was to effect the evacuation of US Nationals.""","[""Nation-state""]","Cambodia","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""The operation was ordered and conducted pursuant to the President's Constitutional executive power and authority as Commander-in-Chief of U.S. Armed Forces.""","Scope/duration specified","""... the first elements of the U.S. forces entered Cambodian airspace at 8:34PM EDT on April 11...the last evacuees and ground security force Marines departed the Cambodian landing zone at approximately 12:20 AM on 12 April 1075.""","Yes","1-2 days","No",,"[""Unknown""]",,"No","""No US Armed Forces personnel were killed, wounded or missing, and there were no casualties among the American evacuees.""","Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/46RysCvORA6ZbpkJJOMImp/3afd4acc10534bd41dba6d5ab8afd4fa/19750412-Ford.pdf"
"19750430A","1975-04-30","Gerald Ford","Ford","Only Term","[""South Vietnam""]","[""Evacuation""]","""emergency final evacuation out of consideration for the safety of U.S. citizens"" in Saigon","[""Air operations"",""Use of ground forces""]","""A force of 70 evacuation helicopters with 865 Marines evacuated about 1400 U.S. citizens, together with approximately 5500 third country nationals and South Vietnamese... U.S. fighter aircraft provided protective cover... and in one instance suppressed North Vietnamese anti-aircraft artillery firing upon evacuation helicopters... The ground security forces on occasion returned fire during the course of the evacuation operation.""  ","[""Nation-state""]","North Vietnam","Yes, described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))"",""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""The operation was ordered and conducted pursuant to the President's Constitutional executive power and authority as Commander-in-Chief of U.S. Armed Forces.""","Scope/duration specified","""...about 1:00 A.M. EDT, April 29, 1975, U.S. forces entered South Vietnam airspace... The last elements of the ground security force departed Saigon at 7:46 P.M. EDT April 29, 1975.""","Yes","1-2 days","No",,"[""Unknown""]",,"Yes","""Two crew members of a Navy search and rescue helicopter are missing at sea. There are no other known U.S. casualties from this operation...""","Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/5Yz37nQyZhZKiqqnhdh9K/7bd65214c6518873162243760977e4f2/19750430-Ford.pdf"
"19750515A","1975-05-15","Gerald Ford","Ford","Only Term","[""Cambodia""]","[""Rescue/Hostage recovery""]","""Our continued objective in this operation was the rescue of the captured American crew along with the retaking of the ship Mayaguez.""","[""Air operations"",""Use of naval forces/vessels""]","""I ordered late this afternoon an assault by United States Marines on the island of Koh Tang to search out and rescue such Americans as might still be held there, and I ordered retaking of the Mayaguez by other marines boarding from the destroyer escort Holt.""","[""Nation-state""]","""Cambodian naval patrol boats of the Armed Forces of Cambodia""","Yes, stated or used terms in statute","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""The operation was ordered and conducted pursuant to the President's Constitutional executive power and authority as Commander-in-Chief of U.S. Armed Forces.""","Scope/duration specified","Activity occurred May 12-14, 1975","Yes","1-2 days","No",,"[""Self-Defense""]","""This hostile act (Cambodian naval patrol boat shooting at U.S. merchant ship) was in clear violation of international law.""","Unknown",,"Unknown",,"Yes","S/11689","https://digitallibrary.un.org/record/457653?ln=en",,"//assets.ctfassets.net/6hn51hpulw83/5gbd97kdcHgDJBf72aa4IR/01afed00041b5d3e7ca8664c64c9be7f/19750515-Ford.pdf"
"19800426A","1980-04-26","Jimmy Carter","Carter","Only Term","[""Iran""]","[""Rescue/Hostage recovery""]","Position rescue team for ""effort to withdraw the American hostages... held captive in Iran since November 4, 1979"" (mission ""was aborted""); ""a humanitarian mission""","[""Air operations"",""Use of ground forces""]","""[S]ix U.S. C-130 transport aircraft and eight RH-53 helicopters entered Iran airspace""; ""Some of the C-130 aircraft carried a force of approximately 90 members of the rescue team equipped for combat, plus various support personnel""; ""six transports and six of the eight helicopters landed at a remote desert site in Iran"" where they ""commenced refueling operations""; operating difficulties and a collision caused the mission to be aborted.","[""Nation-state""]","Attempted rescue of US Embassy hostages in Tehran ""was not directed against Iran. It was not directed against the people of Iran.""","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This operation was ordered and conducted pursuant to the President's powers under the Constitution as Chief Executive and as Commander-in-Chief of the United States Armed Forces, expressly recognized in Section 8(d)(1) of the War Powers Resolution.""","Scope/duration specified","Activity occurred Apr. 24, 1980","Yes","1-2 days","No",,"[""Self-Defense""]","""the United States was acting wholly within its right, in accordance with Article 51 of the United Nations Charter, to protect and rescue its citizens where the government of the territory in which they are located is unable or unwilling to protect them.""","Yes","During withdrawal, ""one of the helicopters accidentally collided with one of the C-130 aircraft, which was preparing to take off, resulting in the death of eight personnel and the injury of several others.""","No","""It caused no Iranian casualties.""","Yes","S/13908","https://digitallibrary.un.org/record/13021?ln=en",,"//assets.ctfassets.net/6hn51hpulw83/P61oRaTKZs10Drr0XkucN/6c62d12d6949c72ca70c21b41dd65182/19800426-Carter.pdf"
"19820319A","1982-03-19","Ronald Reagan","Reagan","First Term","[""Israel"",""Egypt""]","[""Stabilization""]","Implement 1979 Treaty of Peace between Egypt and Israel: ""to assist in assuring compliance with the terms of Annex I to the Treaty, so as to enhance the mutual confidence of the parties in the security of the Sinai border area"" after UN failed to provide peacekeeping forces.","[""Air operations"",""Use of ground forces""]","""an infantry battalion, a logistics support unit and civilian observers""; ""five unarmed UH-1H helicopters (which will provide air transportation in the Sinai for MFO personnel)""; ""the operation of checkpoints, reconnaissance patrols, and observation posts; verification of the implementation of Annex I of the Peace Treaty; and ensuring freedom of navigation through the Strait of Tiran in accordance with Article V of the Peace Treaty.""","[""Other""]","Implementation of peace treaty","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Const. (Art. II) and Statute""]","""The deployment of U.S. forces to the Sinai for this purpose is being undertaken pursuant to Public Law 97-132 of December 29, 1981, and pursuant to the President's constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief of U.S. Armed Forces.""","Mission-bound but indeterminate","""The duration of this involvement of U.S. forces in the Sinai will depend, of course, on the strengthening of mutual confidence between Egypt and Israel. The U.S. contribution to the MFO is not limited to any specific period...U.S. participation in future years will, of course, be subject to the Congressional authorization and appropriations process.""","No","60 days or longer of sustained activity","Yes","US forces are contribution to ""Multinational Force and Observers (MFO)""","[""Consent of territorial state""]","In accordance with 1981 Egypt-Israel Protocol to the 1979 Treaty of Peace and pursuant to ""an exchange of letters with Egypt and Israel dated August 3, 1981, the United States agreed, subject to Congressional authorization and appropriations, to contribute"" to the MFO","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,"https://documents-dds-ny.un.org/doc/UNDOC/GEN/N75/100/47/pdf/N7510047.pdf",,"//assets.ctfassets.net/6hn51hpulw83/5BS3p7k6yE9zHfN4rI9EC6/2ddb75c6d5ed5b3bf6a561c889fa9b7c/19820319-Reagan.pdf"
"19820824A","1982-08-24","Ronald Reagan","Reagan","First Term","[""Lebanon""]","[""Advise/Assist""]","Assist Lebanon as part of multinational force ""in carrying out its responsibilities concerning the withdrawal of Palestinian [PLO] personnel""","[""Use of ground forces""]","Deployment of 800 Marines ""equipped with weapons consistent with their non-combat mission, including usual infantry weapons"" to assist the Government of Lebanon with ""withdrawal of Palestinian personnel""","[""Non-state actor""]","Palestine Liberation Organization leadership, offices, and combatants in Beirut","No, as stated in report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This deployment of the United States Armed Forces to Lebanon is being undertaken pursuant to the President's constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief of the United States Armed Forces.""","Scope/duration specified","""the United States military personnel will be withdrawn from Lebanon within thirty days""","No","Unknown","Yes","""close coordination with the Lebanese Armed Forces"" and French and Italian military personnel ""in the multinational force""","[""Consent of territorial state""]","""In response to the formal request of the Government of Lebanon""","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,"[""19820929A"",""19830830A""]","//assets.ctfassets.net/6hn51hpulw83/OrFp0kSesylF9OYxjfCh7/fbe972f566e2288e8098cdc7be78273e/19820824-Reagan.pdf"
"19820929A","1982-09-29","Ronald Reagan","Reagan","First Term","[""Lebanon""]","[""Advise/Assist""]","""contribute forces to serve as a temporary Multinational Force...[to] facilitate the restoration of Lebanese Government sovereignty and authority, and thereby further the efforts of the Government of Lebanon to assure the safety of persons in the area and bring to an end the violence which has tragically recurred.""","[""Use of ground forces""]","""approximately 1200 Marines of a Marine Amphibious Unit"" will ""provide an interposition force at agreed locations and thereby provide the multinational presence requested by the Lebanese Government""; ""the American force will not engage in combat. It may, however, exercise the right of self-defense and will be equipped accordingly.""","[""Other""]","Assistance to stabilize Lebanon","No, as stated in report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This deployment of the United States Armed Forces is being undertaken pursuant to the President's constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief of the United States Armed Forces.""","Mission-bound but indeterminate","""Although it is not possible at this time to predict the precise duration of the presence of U.S. forces in Beirut, our agreement with the Government of Lebanon makes clear that they will be needed only for a limited period to meet the urgent requirements posed by the current situation.""","No","Unknown","Yes","""close coordination with the Lebanese Armed Forces, as well as with comparably sized French and Italian military contingents in the Multinational Force""","[""Consent of territorial state""]","U.S. force ""are in Lebanon at the formal request of the Government of Lebanon""","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,"[""19820824A"",""19830830A""]","//assets.ctfassets.net/6hn51hpulw83/2IcT3ZIEF5Obt4mYUfJfO8/12ba3b168272fad8c2176b6dde9f4d0d/19820929-Reagan.pdf"
"19830808A","1983-08-08","Ronald Reagan","Reagan","First Term","[""Chad""]","[""Advise/Assist""]","Assist Chad in ""self defense against armed aggression by Libyan forces and Libyan-supported insurgents in Chad""","[""Air operations""]","Deployment of ""two Airborne Warning and Control Systems (AWACS) E3A and eight F-15 (Eagle) all-weather fighter aircraft with air and ground logistical support forces"" ... ""for the purpose of collecting and providing essential information, including surveillance data and early warning""","[""Nation-state""]","Libyan forces and Libyan-supported insurgents","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This deployment of the United States Armed Forces is being undertaken pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief of the United States Armed Forces.""","Mission-bound but indeterminate","""It is not possible at this time to predict the precise duration of this deployment of United States Armed Forces in the region. They will remain for only a limited period to meet the urgent requirements posed by the present situation.""","No","Unknown","Yes","""Government of Chad and other friendly governments assisting it"" including France","[""Consent of territorial state""]","""Chad has requested the Governments of France and the United States to assist in its self defense against armed aggression""","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/1Nwc6WqzBUW0tpKjYYOMUP/649558fc937b41a9aaf15423f45fef1c/19830808-Reagan.pdf"
"19830830A","1983-08-30","Ronald Reagan","Reagan","First Term","[""Lebanon""]","[""Advise/Assist""]","Assist Lebanon as part of multinational force ""to facilitate the restoration of Lebanese Government sovereignty and authority, and thereby further the efforts of the Government of Lebanon to assure the safety of persons in the area and bring to an end the violence that had tragically recurred.""","[""Air operations"",""Use of ground forces""]","""U.S. Marines of the MNF came under small-arms fire ... and this fire was returned""; ""fighting erupted again. Marine positions came under mortar, rocket, and small-arms fire, with the result that two Marines were killed and fourteen wounded""; ""U.S. Marines returned fire with artillery, small arms, and, in one instance, rocket fire from a helicopter gunship. There were additional exchanges of fire earlier today ... ""","[""Non-state actor""]","Various armed factions in Southern Beruit","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this deployment pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief of the United States Armed Forces.""","Mission-bound but indeterminate","Fighting occurred on August 28, 29, and 30, 1983; ""It is still not possible to predict the duration of the presence of these forces in Lebanon...""","No","Unknown","Yes","""Multinational Force (MNF) requested by the Government of Lebanon""","[""Consent of territorial state""]","As noted in reports of Aug. 24, 1982 and Sept. 29, 1982","Yes","""two Marines were killed and fourteen wounded""","Unknown",,"Not applicable because no self-defense claim",,,"[""19820824A"",""19820929A""]","//assets.ctfassets.net/6hn51hpulw83/LxiGqqq4H53GCuKY9bkAE/92945600e5af73eee84ffa1156372410/19830830-Reagan.pdf"
